id,conversation,score_specificity_llm,score_specificity_human,performance
chat_24,,2,,7.4
chat_25,,1,,6.4
chat_26,,2,2,7.3
chat_27,,1,,5.8
chat_28,,1,,6.6
chat_29,,1,1,5.8
chat_30,,2,2,
chat_31,,1,,1.4
chat_32,,1,,7.9
chat_33,,1,,7.7
chat_34,,1,,6.5
chat_35,,0,,
chat_36,,1,1,7
chat_37,,1,,6.8
chat_38,,2,,8
chat_39,,0,,6.9
chat_40,,1,1,7.3
chat_41,,1,,5.8
chat_42,,1,,6.9
chat_43,,1,,6.9
chat_44,,0,0,8.3
chat_45,,1,,6.2
chat_46,,1,,
chat_47,,1,1,5.6
chat_48,,0,,7.1
chat_49,,2,,6.9
chat_50,,1,,8.2
chat_51,,0,,6.9
chat_52,,0,0,3.9
chat_53,,0,0,7
chat_54,,1,,7.1
chat_55,,0,,6.9
chat_56,,1,,7.2
chat_57,,0,0,7.6
chat_58,,1,1,8.1
chat_59,,1,1,6.3
chat_60,,1,,6.4
chat_61,,1,,6.8
chat_62,,1,,8
chat_63,,0,,7
chat_64,,1,,7.8
chat_65,,0,,6.9
chat_66,,0,,1.2
chat_67,,1,1,7
chat_68,,1,,7.6
chat_69,,1,1,7.3
chat_70,,2,,6.8
chat_71,,1,,7.8
chat_72,,1,,7.2
chat_73,,1,,5.7
chat_74,,1,,7.8
chat_75,,1,,7.3
chat_76,,2,,6.2
chat_77,,1,,
chat_78,,1,,5.9
chat_79,,2,,6.2
chat_80,,1,,7.8
